📛央 视V6,#genre#
湛江新闻,http://rustdesk.szsun.xyz:8088/udp/239.77.0.141:5146
湛江公共,http://rustdesk.szsun.xyz:8088/udp/239.77.0.140:5146
东莞新闻,http://rustdesk.szsun.xyz:8088/udp/239.253.43.104:5146
东莞资讯,http://rustdesk.szsun.xyz:8088/udp/239.253.43.105:5146

央视频道,#genre#
CCTV-01,http://34.80.180.91:5050/smart.php?id=cctv1
CCTV-02,http://34.80.180.91:5050/smart.php?id=cctv2
CCTV-03,http://34.80.180.91:5050/smart.php?id=cctv3
CCTV-04,http://34.80.180.91:5050/smart.php?id=Cctv4
CCTV-04,http://34.80.180.91:5050/smart.php?id=cctv4
CCTV-05,http://34.80.180.91:5050/smart.php?id=cctv5
CCTV-5+,http://34.80.180.91:5050/smart.php?id=cctv5plus
CCTV-06,http://34.80.180.91:5050/smart.php?id=cctv6
CCTV-07,http://34.80.180.91:5050/smart.php?id=cctv7
CCTV-08,http://34.80.180.91:5050/smart.php?id=cctv8hd
CCTV-09,http://34.80.180.91:5050/smart.php?id=cctv9hd
CCTV-10,http://34.80.180.91:5050/smart.php?id=cctv10hd
CCTV-11,http://34.80.180.91:5050/smart.php?id=cctv11
CCTV-12,http://34.80.180.91:5050/smart.php?id=cctv12
CCTV-13,http://34.80.180.91:5050/smart.php?id=cctv13
CCTV-14,http://34.80.180.91:5050/smart.php?id=cctv14
CCTV-15,http://34.80.180.91:5050/smart.php?id=cctv15
CCTV-16,http://34.80.180.91:5050/smart.php?id=cctv16
CCTV-17,http://34.80.180.91:5050/smart.php?id=cctv17

虎牙电视,#genre#
活佛济公,http://cfss.cc/cdn/hy/23903123.m3u8
倚天屠龙记,http://cfss.cc/cdn/hy/27834853.m3u8
如懿传,http://cfss.cc/cdn/hy/29465868.m3u8
芈月传,http://cfss.cc/cdn/hy/11352975.m3u8
延禧攻略,http://cfss.cc/cdn/hy/26355864.m3u8
永夜星河,http://cfss.cc/cdn/hy/23734169.m3u8
玫瑰的故事,http://cfss.cc/cdn/hy/23865142.m3u8
漫长的季节,http://cfss.cc/cdn/hy/11342393.m3u8
梦华录,http://cfss.cc/cdn/hy/11336590.m3u8
无心法师,http://cfss.cc/cdn/hy/30080233.m3u8
精绝古城,http://cfss.cc/cdn/hy/11352871.m3u8
怒晴湘西,http://cfss.cc/cdn/hy/11602075.m3u8
龙岭迷窟,http://cfss.cc/cdn/hy/29465863.m3u8
云南虫谷,http://cfss.cc/cdn/hy/11352898.m3u8
开端,http://cfss.cc/cdn/hy/11342397.m3u8
家有儿女,http://cfss.cc/cdn/hy/29774370.m3u8
长相思,http://cfss.cc/cdn/hy/11336593.m3u8
庆余年,http://cfss.cc/cdn/hy/11352960.m3u8
星汉灿烂,http://cfss.cc/cdn/hy/11336591.m3u8

虎牙电影,#genre#
刘德华,http://cfss.cc/cdn/hy/11342424.m3u8
李连杰,http://cfss.cc/cdn/hy/11342390.m3u8
甄子丹,http://cfss.cc/cdn/hy/11352935.m3u8
周润发,http://cfss.cc/cdn/hy/11342387.m3u8
周星星,http://cfss.cc/cdn/hy/11336587.m3u8
洪金宝,http://cfss.cc/cdn/hy/11279251.m3u8
梁家辉,http://cfss.cc/cdn/hy/11342429.m3u8
洪金宝,http://cfss.cc/cdn/hy/11279251.m3u8
古天乐,http://cfss.cc/cdn/hy/11602041.m3u8
邱淑贞,http://cfss.cc/cdn/hy/11352949.m3u8
周海媚,http://cfss.cc/cdn/hy/11279247.m3u8
周星驰,http://cfss.cc/cdn/hy/11342412.m3u8
林正英,http://cfss.cc/cdn/hy/11342421.m3u8
成龙,http://cfss.cc/cdn/hy/11342386.m3u8
王晶,http://cfss.cc/cdn/hy/11602058.m3u8
沈腾,http://cfss.cc/cdn/hy/11601968.m3u8
黄渤,http://cfss.cc/cdn/hy/11352876.m3u8
吴京,http://cfss.cc/cdn/hy/11602041.m3u8
强森,http://cfss.cc/cdn/hy/21059581.m3u8
玄幻,http://cfss.cc/cdn/hy/11342414.m3u8
喜剧,http://cfss.cc/cdn/hy/11352877.m3u8
港片,http://cfss.cc/cdn/hy/11602043.m3u8
国产,http://cfss.cc/cdn/hy/11352973.m3u8
漫威,http://cfss.cc/cdn/hy/11602034.m3u8
宇宙,http://cfss.cc/cdn/hy/11342428.m3u8
怪兽,http://cfss.cc/cdn/hy/21059577.m3u8
武侠,http://cfss.cc/cdn/hy/11342427.m3u8
警匪,http://cfss.cc/cdn/hy/11352886.m3u8
罪犯,http://cfss.cc/cdn/hy/11352962.m3u8
枪战,http://cfss.cc/cdn/hy/21059579.m3u8
盗墓,http://cfss.cc/cdn/hy/21059552.m3u8
海盗,http://cfss.cc/cdn/hy/21059595.m3u8
推荐,http://cfss.cc/cdn/hy/11602041.m3u8
救援,http://cfss.cc/cdn/hy/21059594.m3u8
热血,http://cfss.cc/cdn/hy/11352934.m3u8
谍战,http://cfss.cc/cdn/hy/21059585.m3u8
战争,http://cfss.cc/cdn/hy/21059592.m3u8

甄 嬛 传,#genre#
甄嬛传第01集,https://vip.dytt-love.com/20250701/2664_daaaf136/index.m3u8
甄嬛传第02集,https://vip.dytt-love.com/20250701/2665_e727fa59/index.m3u8
甄嬛传第03集,https://vip.dytt-love.com/20250701/2666_1102a326/index.m3u8
甄嬛传第04集,https://vip.dytt-love.com/20250701/2667_7edccc66/index.m3u8
甄嬛传第05集,https://vip.dytt-love.com/20250701/2668_5ac8bb8a/index.m3u8
甄嬛传第06集,https://vip.dytt-love.com/20250701/2669_0bed45bd/index.m3u8
甄嬛传第07集,https://vip.dytt-love.com/20250701/2670_028ee724/index.m3u8
甄嬛传第08集,https://vip.dytt-love.com/20250701/2671_f8da71e5/index.m3u8
甄嬛传第09集,https://vip.dytt-love.com/20250701/2672_0e900ad8/index.m3u8
甄嬛传第10集,https://vip.dytt-love.com/20250701/2673_88fee042/index.m3u8
甄嬛传第11集,https://vip.dytt-love.com/20250701/2674_a8345c3b/index.m3u8
甄嬛传第12集,https://vip.dytt-love.com/20250701/2675_a8aa681a/index.m3u8
甄嬛传第13集,https://vip.dytt-love.com/20250701/2676_d89a66c7/index.m3u8
甄嬛传第14集,https://vip.dytt-love.com/20250701/2677_e97c864e/index.m3u8
甄嬛传第15集,https://vip.dytt-love.com/20250701/2678_94aef384/index.m3u8
甄嬛传第16集,https://vip.dytt-love.com/20250701/2679_9813b270/index.m3u8
甄嬛传第17集,https://vip.dytt-love.com/20250701/2680_220a7f49/index.m3u8
甄嬛传第18集,https://vip.dytt-love.com/20250701/2681_dcda54e2/index.m3u8
甄嬛传第19集,https://vip.dytt-love.com/20250701/2682_f15eda31/index.m3u8
甄嬛传第20集,https://vip.dytt-love.com/20250701/2683_8420d359/index.m3u8
甄嬛传第21集,https://vip.dytt-love.com/20250701/2684_7c4bf50b/index.m3u8
甄嬛传第22集,https://vip.dytt-love.com/20250701/2685_41ab1b1d/index.m3u8
甄嬛传第23集,https://vip.dytt-love.com/20250701/2686_3a0844ce/index.m3u8
甄嬛传第24集,https://vip.dytt-love.com/20250701/2687_573eec40/index.m3u8
甄嬛传第25集,https://vip.dytt-love.com/20250701/2688_b38e5ff5/index.m3u8
甄嬛传第26集,https://vip.dytt-love.com/20250701/2689_577fd602/index.m3u8
甄嬛传第27集,https://vip.dytt-love.com/20250701/2690_f6185f0e/index.m3u8
甄嬛传第28集,https://vip.dytt-love.com/20250701/2691_110eec23/index.m3u8
甄嬛传第29集,https://vip.dytt-love.com/20250701/2692_d790c9e6/index.m3u8
甄嬛传第30集,https://vip.dytt-love.com/20250701/2693_3bd40173/index.m3u8
甄嬛传第31集,https://vip.dytt-love.com/20250701/2694_cf9b2d04/index.m3u8
甄嬛传第32集,https://vip.dytt-love.com/20250701/2695_dbbf603f/index.m3u8
甄嬛传第33集,https://vip.dytt-love.com/20250701/2696_dc2b6905/index.m3u8
甄嬛传第34集,https://vip.dytt-love.com/20250701/2697_ab452534/index.m3u8
甄嬛传第35集,https://vip.dytt-love.com/20250701/2698_fb4ab556/index.m3u8
甄嬛传第36集,https://vip.dytt-love.com/20250701/2699_0415740e/index.m3u8
甄嬛传第37集,https://vip.dytt-love.com/20250701/2700_f1b07759/index.m3u8
甄嬛传第38集,https://vip.dytt-love.com/20250701/2701_df0e09d6/index.m3u8
甄嬛传第39集,https://vip.dytt-love.com/20250701/2702_2e7ceec8/index.m3u8
甄嬛传第40集,https://vip.dytt-love.com/20250701/2703_220c77af/index.m3u8
甄嬛传第41集,https://vip.dytt-love.com/20250701/2704_81c2f886/index.m3u8
甄嬛传第42集,https://vip.dytt-love.com/20250701/2705_825f9cd5/index.m3u8
甄嬛传第43集,https://vip.dytt-love.com/20250701/2706_2e74c2cf/index.m3u8
甄嬛传第44集,https://vip.dytt-love.com/20250701/2707_65f2a94c/index.m3u8
甄嬛传第45集,https://vip.dytt-love.com/20250701/2708_03fa2f75/index.m3u8
甄嬛传第46集,https://vip.dytt-love.com/20250701/2709_5a99158e/index.m3u8
甄嬛传第47集,https://vip.dytt-love.com/20250701/2710_de594ef5/index.m3u8
甄嬛传第48集,https://vip.dytt-love.com/20250701/2711_65fc9fb4/index.m3u8
甄嬛传第49集,https://vip.dytt-love.com/20250701/2712_bbeb0c1b/index.m3u8
甄嬛传第50集,https://vip.dytt-love.com/20250701/2713_403ea2e8/index.m3u8
甄嬛传第51集,https://vip.dytt-love.com/20250701/2714_b628386c/index.m3u8
甄嬛传第52集,https://vip.dytt-love.com/20250701/2715_ff2cc3b8/index.m3u8
甄嬛传第53集,https://vip.dytt-love.com/20250701/2716_cdd96eed/index.m3u8
甄嬛传第54集,https://vip.dytt-love.com/20250701/2717_058d6f2f/index.m3u8
甄嬛传第55集,https://vip.dytt-love.com/20250701/2718_ad47a008/index.m3u8
甄嬛传第56集,https://vip.dytt-love.com/20250701/2719_7aee26c3/index.m3u8
甄嬛传第57集,https://vip.dytt-love.com/20250701/2720_fa2e8c43/index.m3u8
甄嬛传第58集,https://vip.dytt-love.com/20250701/2721_36238749/index.m3u8
甄嬛传第59集,https://vip.dytt-love.com/20250701/2722_33267e5d/index.m3u8
甄嬛传第60集,https://vip.dytt-love.com/20250701/2723_c315f032/index.m3u8
甄嬛传第61集,https://vip.dytt-love.com/20250701/2724_64a08e5f/index.m3u8
甄嬛传第62集,https://vip.dytt-love.com/20250701/2725_4bbdcc0e/index.m3u8
甄嬛传第63集,https://vip.dytt-love.com/20250701/2726_b1c00bcd/index.m3u8
甄嬛传第64集,https://vip.dytt-love.com/20250701/2727_23fc4cba/index.m3u8
甄嬛传第65集,https://vip.dytt-love.com/20250701/2728_5e751896/index.m3u8
甄嬛传第66集,https://vip.dytt-love.com/20250701/2729_b7f1f29d/index.m3u8
甄嬛传第67集,https://vip.dytt-love.com/20250701/2730_421b3ac5/index.m3u8
甄嬛传第68集,https://vip.dytt-love.com/20250701/2731_08f38e04/index.m3u8
甄嬛传第69集,https://vip.dytt-love.com/20250701/2732_36144052/index.m3u8
甄嬛传第70集,https://vip.dytt-love.com/20250701/2733_ec1f850d/index.m3u8
甄嬛传第71集,https://vip.dytt-love.com/20250701/2734_7f7c351e/index.m3u8
甄嬛传第72集,https://vip.dytt-love.com/20250701/2735_1d497805/index.m3u8
甄嬛传第73集,https://vip.dytt-love.com/20250701/2736_47fd3c87/index.m3u8
甄嬛传第74集,https://vip.dytt-love.com/20250701/2737_9ff7c9eb/index.m3u8
甄嬛传第75集,https://vip.dytt-love.com/20250701/2738_a4613e8d/index.m3u8
甄嬛传第76集,https://vip.dytt-love.com/20250701/2739_56584778/index.m3u8
_,#genre#
色戒,https://vip.dytt-cinema.com/20250326/17763_409a410d/index.m3u8
人间中毒,https://sd4.taopianplay1.com:43333/c56b1bc09da3/HD/2023-04-13/1/bcc13b518509/254e786492f5/playlist.m3u8
方子传 ,https://sd1.taopianplay1.com:43333/c56b1bc09da3/HD/2022-09-17/1/a5b67861aac5/acae9614fd3d/playlist.m3u8
后宫：帝王之妾,https://hd.lz-cdn15.com/20220916/141_cd51d74b/index.m3u8
霜花店,https://sd4.taopianplay1.com:43333/c56b1bc09da3/HD/2023-02-09/1/ae62eff5f13c/0eeafbca93f2/playlist.m3u8
XY MIX ᴴᴰ,http://line.premiumpowers.net:80/play/live.php?mac=00:1A:79:BF:E8:80&stream=773975&extension=ts&play_token=VFnUEDgvPl
Gay,http://cdn.adultiptv.net/gay.m3u8























